,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedElo,BlueElo
631,Khalil Rountree Jr.,Chris Daukaus,-170.0,142.0,58.8235,142.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,3,0,0,6.05,0.5,0.0,0.0,0.0,4,3,9,0,0,0,0,4,0,0,4,Orthodox,190.5,193.04,205,0,3,0,3.84,0.39,0.1,0.0,0.0,3,5,25,1,0,1,1,5,0,0,7,Southpaw,185.42,193.04,205,33,33,3,-3,1,-3,-2,-16,-1,-1,0,5.08,0.0,0,2.21,-0.1,0.0,,,13.0,,,,,,13.0,,,,,,,,,,,,14.0,,,,,,,,,Red,KO/TKO,Punch,1.0,2:40,160.0,,650.0,,1200.0,,250.0,1042.608032951196,1027.9686111518417
632,Polyana Viana,Iasmin Lucindo,164.0,-198.0,164.0,50.5051,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,1,0,3.95,0.46,0.3,2.23,0.53,1,1,6,0,0,0,1,0,0,0,1,Orthodox,160.02,167.64,115,0,1,0,2.99,0.4,1.9,0.82,0.33,2,4,14,0,0,0,0,1,3,0,4,Orthodox,165.1,170.18,115,31,21,0,0,-1,-3,-3,-8,0,-1,-3,-5.08,-2.54,-10,0.96,-1.6,1.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,2.0,3:42,522.0,600.0,100.0,350.0,1200.0,900.0,400.0,1002.6371645441399,1000.0
633,AJ Dobson,Tafon Nchukwi,124.0,-148.0,124.0,67.5676,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,2,0,0,5.57,0.52,0.0,0.76,0.57,2,3,15,0,0,0,2,1,0,0,3,Orthodox,182.88,195.58,185,2,0,0,4.29,0.46,0.3,1.67,0.75,1,2,7,0,0,0,0,0,1,0,1,Orthodox,185.42,193.04,185,31,28,0,0,1,2,1,8,0,1,-1,-2.54,2.54,-3,1.28,-0.3,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,500.0,,800.0,,250.0,,961.3698565393385,975.9678262952235
634,Josh Fremd,Jamie Pickett,-325.0,260.0,30.7692,260.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Middleweight,MALE,3,3,0,0,2.65,0.47,0.1,1.26,0.4,2,7,20,0,0,0,2,1,0,0,3,Orthodox,187.96,203.2,185,0,1,0,2.52,0.44,1.1,0.66,0.25,1,2,7,0,0,0,0,0,1,0,1,Orthodox,193.04,193.04,185,29,34,3,-1,1,2,5,13,0,1,-1,-5.08,10.16,5,0.13,-1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,250.0,450.0,240.0,2800.0,215.0,800.0,981.5721488237775,944.062699008352
635,JP Buys,Marcus McGhee,280.0,-355.0,280.0,28.169,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,1,0,5.43,0.51,0.8,0.84,0.33,1,0,2,0,0,0,0,0,1,0,1,Orthodox,172.72,175.26,135,3,0,0,1.88,0.39,2.3,1.55,0.25,1,4,9,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,135,27,33,-3,1,0,0,-4,-7,0,0,0,7.62,5.08,6,3.55,-1.5,-0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,2:19,139.0,800.0,500.0,600.0,600.0,1200.0,-150.0,941.5806272245734,1019.016078692938
636,Terrance McKinney,Mike Breeden,-285.0,230.0,35.0877,230.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,3,0,0,5.75,0.45,0.0,0.98,0.3,0,3,7,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,2,0,0,4.53,0.5,1.0,3.45,0.36,2,4,10,0,0,0,0,1,2,0,3,Switch,177.8,185.42,155,28,34,1,0,-2,-3,-1,-3,0,-1,-2,0.0,-7.62,6,1.22,-1.0,-2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:25,85.0,1200.0,1100.0,165.0,1600.0,140.0,330.0,997.2017835520712,961.8565953350571
637,Francis Marshall,Isaac Dulgarian,-130.0,110.0,76.9231,110.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Featherweight,MALE,3,0,0,0,2.88,0.58,1.5,6.06,0.47,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,145,1,0,0,3.69,0.34,0.5,2.68,0.41,2,1,8,0,0,0,1,1,0,0,2,Orthodox,175.26,182.88,145,24,27,-1,0,-2,-2,-1,-8,0,-1,0,-5.08,-2.54,3,-0.81,1.0,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Elbows,1.0,4:48,288.0,300.0,550.0,180.0,500.0,500.0,450.0,997.9749826887993,1000.0
638,Josh Parisian,Martin Buday,164.0,-198.0,164.0,50.5051,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,4,0,4.84,0.53,0.2,0.21,0.25,4,0,10,0,0,1,2,1,0,0,4,Orthodox,193.04,195.58,265,1,0,0,4.55,0.48,0.2,0.98,0.33,2,3,16,0,0,1,0,3,0,0,4,Orthodox,193.04,200.66,265,34,31,-1,4,2,0,-3,-6,0,-2,0,0.0,-5.08,-3,0.29,0.0,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Kimura,1.0,4:11,251.0,350.0,150.0,1600.0,1000.0,500.0,240.0,976.2598861925024,1054.525987341381
639,Jaqueline Amorim,Montserrat Conejo Ruiz,-245.0,200.0,40.8163,200.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Women's Strawweight,FEMALE,3,1,0,0,0.79,0.27,0.8,2.05,0.83,1,1,4,0,0,0,1,0,0,0,1,Southpaw,152.4,154.94,115,1,0,0,3.33,0.52,5.4,1.48,0.23,0,1,3,0,0,0,0,0,0,0,0,Orthodox,160.02,172.72,115,28,30,0,0,1,1,0,1,0,0,0,-7.62,-17.78,2,-2.54,-4.6,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,3:41,821.0,500.0,330.0,-125.0,1400.0,800.0,1000.0,978.4065946878172,1000.0
640,Da'Mon Blackshear,Jose Johnson,-238.0,195.0,42.0168,195.0,2023-08-12,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,0,1,0,2.22,0.57,0.7,0.71,0.6,1,1,6,0,0,0,1,0,0,0,1,Orthodox,182.88,180.34,125,0,1,1,4.28,0.47,0.8,2.33,0.37,1,1,8,0,0,0,0,1,0,0,1,Switch,177.8,182.88,135,29,28,0,0,0,0,0,-2,0,-1,0,5.08,-2.54,-1,-2.06,-0.1,-1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Twister,1.0,3:47,227.0,200.0,800.0,165.0,1400.0,500.0,400.0,1000.1352016485853,1000.0
641,Juliana Miller,Luana Santos,124.0,-148.0,124.0,67.5676,2023-08-12,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,0,0,4.28,0.51,1.2,1.62,0.4,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,170.18,125,1,0,0,3.31,0.45,1.8,1.84,0.44,1,1,6,0,0,0,0,1,0,0,1,Orthodox,170.18,167.64,125,27,23,-1,0,-1,-1,-1,-6,0,-1,0,-2.54,2.54,-4,0.97,-0.6,-0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,3:41,221.0,275.0,120.0,500.0,500.0,900.0,1200.0,998.8499774443093,1000.0
642,Cory Sandhagen,Rob Font,-380.0,300.0,26.3158,300.0,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Catch Weight,MALE,5,0,1,0,5.53,0.45,0.3,0.89,0.35,4,5,38,0,0,0,3,6,1,0,10,Orthodox,172.72,180.34,135,0,2,0,5.02,0.44,0.3,1.19,0.32,5,3,34,1,0,2,1,5,1,0,9,Switch,180.34,177.8,135,31,36,0,-1,-1,1,2,4,-1,1,0,-7.62,2.54,5,0.51,0.0,-0.3,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,7.0,,,neither,U-DEC,,5.0,5:00,1500.0,150.0,600.0,600.0,2000.0,165.0,750.0,1133.6798521711175,1103.224047651727
643,Jessica Andrade,Tatiana Suarez,295.0,-375.0,295.0,26.6667,2023-08-05,"Nashville, Tennessee, USA",USA,Blue,False,Women's Strawweight,FEMALE,3,0,6,0,4.27,0.63,0.9,6.2,0.61,6,0,13,1,0,0,2,1,3,0,6,Southpaw,165.1,167.64,115,2,0,0,6.62,0.5,0.3,2.37,0.55,4,9,50,4,0,1,6,5,3,0,15,Orthodox,154.94,157.48,125,31,32,-2,6,2,-9,-9,-37,-3,-4,0,10.16,10.16,1,-2.35,0.6,3.83,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,15.0,Blue,SUB,Guillotine Choke,2.0,1:31,391.0,900.0,300.0,1200.0,110.0,700.0,330.0,1093.523773118498,1111.0505895287813
644,Dustin Jacoby,Kennedy Nzechukwu,142.0,-170.0,142.0,58.8235,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Light Heavyweight,MALE,3,0,3,0,5.13,0.45,0.2,0.6,0.45,3,3,26,0,0,1,1,5,1,0,8,Southpaw,195.58,210.82,205,2,0,1,5.5,0.47,0.0,0.36,0.25,4,4,30,0,0,0,4,3,0,0,7,Orthodox,190.5,193.04,205,35,31,-2,3,-1,1,-1,-4,0,2,1,5.08,17.78,-4,-0.37,0.2,0.24,,,15.0,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,Red,KO/TKO,Punch,1.0,1:22,82.0,300.0,250.0,2200.0,900.0,380.0,200.0,1034.371318119559,1054.545903851081
645,Diego Lopes,Gavin Tucker,-170.0,142.0,58.8235,142.0,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Featherweight,MALE,3,1,0,0,4.29,0.44,1.5,3.13,0.44,3,2,16,0,0,0,2,0,2,0,4,Southpaw,167.64,167.64,145,2,0,0,3.24,0.55,3.7,0.33,0.25,0,2,6,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,145,28,37,-1,0,3,4,0,10,0,0,2,-12.7,-15.24,9,1.05,-2.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Triangle Armbar,1.0,1:38,98.0,400.0,275.0,225.0,800.0,350.0,700.0,986.5740738182101,1039.4693411928413
646,Tanner Boser,Aleksa Camur,-130.0,110.0,76.9231,110.0,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Light Heavyweight,MALE,3,2,0,0,4.73,0.57,0.0,0.46,0.22,2,2,11,0,0,0,1,1,0,0,2,Orthodox,185.42,187.96,205,2,0,0,4.7,0.52,0.0,0.0,0.0,2,5,21,0,0,0,1,3,0,0,4,Orthodox,187.96,190.5,205,32,27,0,0,0,-2,-3,-10,0,-2,0,-2.54,-2.54,-5,0.03,0.0,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,175.0,330.0,2000.0,1200.0,275.0,350.0,975.8298168741348,978.3520938412166
647,Ignacio Bahamondes,Ludovit Klein,-230.0,190.0,43.4783,190.0,2023-08-05,"Nashville, Tennessee, USA",USA,Blue,False,Lightweight,MALE,3,0,2,1,3.93,0.55,0.0,1.66,0.5,2,2,16,0,0,1,1,1,0,0,3,Southpaw,170.18,182.88,155,0,3,0,7.15,0.46,0.4,0.0,0.0,3,1,14,0,0,0,1,2,1,0,4,Orthodox,190.5,190.5,155,25,28,0,-1,-1,-1,1,2,0,-1,-1,-20.32,-7.62,3,-3.22,-0.4,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,130.0,450.0,700.0,1100.0,275.0,600.0,1043.148550046196,1023.152524484281
648,Kyler Phillips,Raoni Barcelos,-218.0,180.0,45.8716,180.0,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,5.22,0.51,0.6,1.86,0.32,5,3,23,0,0,0,3,2,1,0,6,Orthodox,170.18,170.18,135,0,1,0,5.72,0.45,0.5,2.41,0.46,4,1,15,0,0,0,2,2,1,0,5,Orthodox,172.72,182.88,135,28,36,1,-1,1,1,2,8,0,0,0,-2.54,-12.7,8,-0.5,0.1,-0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,165.0,330.0,700.0,1200.0,240.0,750.0,1054.7601506819626,1039.5379254514899
649,Jeremiah Wells,Carlston Harris,-118.0,-102.0,84.7458,98.0392,2023-08-05,"Nashville, Tennessee, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,3.18,0.49,0.8,1.97,0.29,2,1,6,0,0,0,1,1,1,0,3,Orthodox,182.88,193.04,170,0,4,0,2.41,0.43,0.8,3.08,0.44,4,0,7,0,0,1,0,2,1,0,4,Switch,175.26,187.96,170,36,36,0,-3,-2,-1,1,-1,0,-1,0,7.62,5.08,0,0.77,0.0,-1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Anaconda Choke,3.0,1:50,710.0,450.0,550.0,600.0,350.0,200.0,350.0,1080.5956795811553,1037.4508385085946
650,Billy Quarantillo,Damon Jackson,,,,,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Featherweight,MALE,3,1,0,1,2.9,0.42,1.2,2.34,0.34,4,3,21,0,0,0,2,1,2,0,5,Switch,180.34,180.34,145,1,0,0,7.36,0.56,1.1,1.24,0.23,4,3,23,0,0,0,1,4,1,0,6,Orthodox,177.8,177.8,145,34,34,0,0,0,-1,0,-2,0,-3,1,2.54,2.54,0,-4.46,0.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,1035.356958051743,1044.700341552795
651,Cody Durden,Jake Hadley,,,,,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Flyweight,MALE,3,0,2,0,3.76,0.44,1.4,0.2,0.06,2,1,8,0,0,0,0,1,2,0,3,Southpaw,170.18,177.8,135,0,3,1,3.19,0.5,0.8,4.6,0.5,3,2,15,0,0,0,3,1,0,0,4,Southpaw,170.18,170.18,125,32,27,0,-1,-1,-1,-1,-7,0,0,2,0.0,7.62,-5,0.57,0.6,-4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,1038.745012663529,1018.2946317367799
652,Sean Woodson,Dennis Buzukja,,,,,2023-08-05,"Nashville, Tennessee, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,4.21,0.43,0.2,0.63,0.27,1,1,6,0,0,0,1,0,0,0,1,Switch,175.26,177.8,145,0,2,1,5.58,0.46,0.4,0.66,0.62,2,1,15,0,0,1,1,2,0,0,4,Orthodox,187.96,198.12,145,31,25,0,-1,-1,-3,0,-9,0,-2,0,-12.7,-20.32,-6,-1.37,-0.2,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,1031.996366478561,1000.0
653,Ode Osbourne,Asu Almabayev,,,,,2023-08-05,"Nashville, Tennessee, USA",USA,Blue,False,Flyweight,MALE,3,0,0,0,2.36,0.61,2.4,6.68,0.56,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,165.1,125,0,1,0,3.46,0.38,0.2,1.27,0.27,2,3,12,0,0,1,1,2,1,0,5,Southpaw,170.18,185.42,125,31,29,0,-1,-2,-5,-3,-12,0,-2,-1,-7.62,-20.32,-2,-1.1,2.2,5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,3:11,491.0,,,,,,,1017.8752717685982,1000.0
654,Dustin Poirier,Justin Gaethje,-145.0,125.0,68.9655,125.0,2023-07-29,"Salt Lake City, Utah, USA",USA,Blue,False,Lightweight,MALE,5,0,1,0,6.78,0.59,0.0,0.11,0.25,4,4,26,2,1,0,1,5,0,0,7,Orthodox,180.34,177.8,155,0,1,0,5.3,0.5,1.3,1.24,0.36,5,7,71,4,1,0,6,11,4,0,22,Southpaw,175.26,182.88,155,34,34,0,0,-1,-15,-3,-45,-2,-6,-4,5.08,-5.08,0,1.48,-1.3,-1.13,,3.0,2.0,,,,,,,,,2.0,,,,13.0,,,,,,,,,3.0,,,,,Red,KO/TKO,Kick,2.0,1:00,360.0,350.0,550.0,650.0,2000.0,175.0,225.0,1220.512841445873,1111.693565709055
655,Jan Blachowicz,Alex Pereira,100.0,-120.0,100.0,83.3333,2023-07-29,"Salt Lake City, Utah, USA",USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,5.23,0.63,0.3,0.17,1.0,4,1,13,5,0,0,1,3,0,0,4,Orthodox,193.04,200.66,205,0,1,1,3.41,0.5,0.3,1.09,0.5,5,6,54,4,0,1,4,5,2,0,12,Orthodox,187.96,198.12,205,40,36,1,-1,-1,-8,-5,-41,1,-2,-2,5.08,2.54,-4,1.82,0.0,-0.92,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,11.0,neither,S-DEC,,3.0,5:00,900.0,,500.0,,2000.0,,165.0,1147.077199942412,1081.0267483825694
656,Derrick Lewis,Marcos Rogerio de Lima,185.0,-215.0,185.0,46.5116,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Heavyweight,MALE,3,0,2,0,3.7,0.57,0.5,1.4,0.45,2,7,29,0,0,0,3,5,2,0,10,Orthodox,185.42,190.5,253,3,0,0,2.48,0.5,0.0,0.57,0.26,6,9,56,2,0,2,2,13,0,0,17,Orthodox,190.5,200.66,260,38,38,-3,2,-4,-7,-2,-27,-2,-8,2,-5.08,-10.16,0,1.22,0.5,0.83,,15.0,10.0,,,,,10.0,,,,,,,,,,,,,15.0,,,,,,,,,Red,KO/TKO,Punches,1.0,0:33,33.0,1400.0,600.0,2500.0,600.0,225.0,-110.0,1092.7061017227736,1057.6516940761169
657,Tony Ferguson,King Green,290.0,,290.0,,2023-07-29,"Salt Lake City, Utah, USA",USA,Blue,False,Lightweight,MALE,3,2,0,1,6.43,0.53,0.3,1.23,0.39,8,11,67,0,0,2,7,2,3,0,14,Orthodox,177.8,180.34,155,5,0,0,4.91,0.45,0.9,0.39,0.35,12,6,52,3,0,1,3,5,6,0,15,Orthodox,180.34,193.04,170,39,36,-3,0,-4,-1,5,15,-3,-3,-3,-2.54,-12.7,-3,1.52,-0.6,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Arm Triangle,3.0,4:54,894.0,650.0,130.0,1200.0,900.0,1100.0,150.0,1110.4371424529068,1000.0
658,Michael Chiesa,Kevin Holland,115.0,-135.0,115.0,74.0741,2023-07-29,"Salt Lake City, Utah, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,4.25,0.49,0.6,0.84,0.38,5,6,49,0,0,2,2,5,3,0,12,Orthodox,190.5,205.74,185,2,0,0,1.86,0.4,1.0,3.35,0.51,4,6,39,1,0,0,5,0,6,0,11,Southpaw,185.42,190.5,170,35,30,-2,1,1,1,0,10,-1,5,-3,5.08,15.24,-5,2.39,-0.4,-2.51,,,12.0,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,Red,SUB,D'Arce Choke,1.0,2:39,159.0,330.0,600.0,350.0,500.0,1200.0,140.0,1094.1978979567864,1089.4540253517562
659,Gabriel Bonfim,Trevin Giles,-360.0,295.0,27.7778,295.0,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Welterweight,MALE,3,0,2,0,3.27,0.55,0.3,1.19,0.5,3,4,29,0,0,2,2,3,0,0,7,Orthodox,182.88,187.96,170,0,2,0,5.78,0.42,1.9,2.92,0.75,2,0,2,0,0,0,0,0,2,0,2,Orthodox,185.42,182.88,170,25,30,0,0,1,5,4,27,0,3,-2,-2.54,5.08,5,-2.51,-1.6,-1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,1.0,1:13,73.0,650.0,600.0,110.0,1800.0,225.0,800.0,1021.4157002700651,1054.2402871144386
660,CJ Vergara,Vinicius Salvador,-180.0,145.0,55.5556,145.0,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Flyweight,MALE,3,1,0,0,5.48,0.43,0.0,0.36,0.11,1,1,5,0,0,0,0,1,0,0,1,Southpaw,170.18,177.8,135,0,1,0,5.24,0.57,0.2,0.0,0.0,1,2,11,0,0,1,0,2,0,0,3,Orthodox,167.64,172.72,125,32,27,1,-1,0,-2,-1,-6,0,-1,0,2.54,5.08,-5,0.24,-0.2,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,240.0,650.0,1200.0,1600.0,180.0,240.0,998.9286239329689,979.9403281404636
661,Roman Kopylov,Claudio Ribeiro,-240.0,195.0,41.6667,195.0,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Middleweight,MALE,3,0,1,0,3.59,0.51,0.0,0.56,0.5,1,1,5,0,0,0,0,2,0,0,2,Orthodox,185.42,195.58,185,0,2,0,4.33,0.54,0.0,1.2,0.53,2,2,11,0,0,0,0,2,0,0,2,Southpaw,182.88,190.5,185,32,31,0,-1,-1,0,-1,-6,0,0,0,2.54,5.08,-1,-0.74,0.0,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,2.0,0:33,333.0,300.0,,1200.0,,120.0,,1004.9637826905745,999.3882240707769
662,Jake Matthews,Darrius Flowers,-285.0,240.0,35.0877,240.0,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Welterweight,MALE,3,0,1,0,3.07,0.49,0.0,0.98,0.28,1,0,1,0,0,0,0,0,1,0,1,Orthodox,175.26,180.34,155,1,0,0,3.38,0.44,0.6,1.56,0.41,3,6,42,0,0,1,4,2,4,0,11,Orthodox,180.34,185.42,170,28,28,-1,1,-2,-10,-6,-41,0,-2,-3,-5.08,-5.08,0,-0.31,-0.6,-0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,2:37,457.0,300.0,900.0,180.0,1800.0,275.0,380.0,1072.6868242114037,1000.0
663,Matthew Semelsberger,Uros Medic,,,,,2023-07-29,"Salt Lake City, Utah, USA",USA,Blue,False,Welterweight,MALE,3,0,1,0,5.51,0.6,0.0,0.38,0.5,2,1,5,0,0,0,0,3,0,0,3,Southpaw,185.42,180.34,170,1,0,0,3.78,0.43,0.4,1.02,0.57,2,3,20,0,0,0,3,2,0,0,5,Switch,185.42,190.5,170,30,30,-1,1,0,-2,-2,-15,0,1,0,0.0,-10.16,0,1.73,-0.4,-0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Elbow,3.0,2:36,756.0,,,,,,,1039.646203588003,1019.3606623218363
664,Miranda Maverick,Priscila Cachoeira,,,,,2023-07-29,"Salt Lake City, Utah, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,2,0,3.76,0.44,0.0,0.15,0.33,2,4,16,0,0,0,1,3,0,0,4,Orthodox,170.18,165.1,125,1,0,0,3.59,0.45,0.3,2.43,0.45,2,3,18,0,0,0,2,1,1,0,4,Southpaw,160.02,165.1,125,26,34,-1,2,0,0,1,-2,0,2,-1,10.16,0.0,8,0.17,-0.3,-2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,3.0,2:11,731.0,,,,,,,1001.6330833544997,1008.7407980472435
665,Tom Aspinall,Marcin Tybura,-500.0,400.0,20.0,400.0,2023-07-22,"London, England, United Kingdom",United Kingdom,Red,False,Heavyweight,MALE,5,0,2,0,3.57,0.48,0.1,1.42,0.33,5,6,46,0,1,0,6,4,0,0,11,Orthodox,190.5,198.12,249,1,0,0,8.07,0.67,1.6,3.27,1.0,5,1,7,2,0,0,0,3,2,0,5,Orthodox,195.58,198.12,256,30,37,-1,2,0,6,5,39,-2,1,-2,-5.08,0.0,7,-4.5,-1.5,-1.85,,10.0,5.0,,,,,5.0,,,,,,,,,,,,,10.0,,,,,,,,,Red,KO/TKO,Punch,1.0,1:13,73.0,1200.0,1800.0,275.0,1600.0,-165.0,550.0,1081.134549737588,1103.625551237761
666,Molly McCann,Julija Stoliarenko,-205.0,175.0,48.7805,175.0,2023-07-22,"London, England, United Kingdom",United Kingdom,Blue,False,Women's Flyweight,FEMALE,3,1,0,0,2.49,0.39,1.7,0.93,0.27,1,5,14,0,0,0,0,0,1,0,1,Orthodox,170.18,167.64,125,1,0,0,5.39,0.49,0.5,1.84,0.36,3,4,25,0,0,0,4,2,0,0,6,Orthodox,162.56,157.48,115,33,30,0,0,-2,-5,1,-11,0,-2,1,7.62,10.16,-3,-2.9,1.2,-0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,1.0,1:55,115.0,225.0,750.0,1200.0,350.0,140.0,1100.0,1032.3778229114187,935.4069551476503
